periodo,datetime,CO2_ppm,AQI,CO_ppm,SO2_ppm,O3_ppm,NO2_ppm,PM2_5_ugm3,temp_C,hum_pct,Bat_pct
P1,2025-11-09 00:54:29,-0.3658753368642904,2,-0.38008045241809985,-0.499439374390255,0.02359203309274438,0.21153711032460537,5.56656782027081,0.30066445182724255,0.7170795306388527,0.9398496240601503
P1,2025-11-09 00:55:30,-0.3561947229540255,2,-0.38008045241809985,-0.499439374390255,-0.02196591933823112,0.07098262844456099,5.313590147901798,0.30066445182724255,0.7170795306388527,0.9385964912280701
P1,2025-11-09 00:56:32,-0.3691067917917226,1,-0.3785358159706239,-0.499439374390255,-0.02196591933823112,0.16468561636459056,5.693056656455316,0.3023255813953489,0.7183833116036505,0.93734335839599
P1,2025-11-09 00:57:33,-0.38658415014391956,1,-0.37467422485193397,-0.46835667362420963,0.16026589038567104,0.30524009824463494,5.693056656455316,0.30066445182724255,0.7196870925684485,0.93734335839599
P1,2025-11-09 00:58:34,-0.3865703992718879,1,-0.3769911795231478,-0.499439374390255,0.06914998552372004,0.21153711032460537,5.56656782027081,0.30066445182724255,0.7196870925684485,0.93734335839599
P1,2025-11-09 00:59:35,-0.37705479582600254,1,-0.373901906628196,-0.499439374390255,-0.02196591933823112,0.07098262844456099,5.503323402178557,0.30066445182724255,0.7183833116036505,0.9360902255639096
P1,2025-11-09 01:00:36,-0.3819638571412931,1,-0.3785358159706239,-0.499439374390255,-0.02196591933823112,0.16468561636459056,5.882789910732075,0.3023255813953489,0.7196870925684485,0.9360902255639096
P1,2025-11-09 01:01:38,-0.39893243322831995,1,-0.37544654307567193,-0.5305220751563003,0.11470793795469554,0.21153711032460537,5.882789910732075,0.30066445182724255,0.7196870925684485,0.93734335839599
P1,2025-11-09 01:02:39,-0.3960997535898049,1,-0.373901906628196,-0.499439374390255,-0.02196591933823112,0.07098262844456099,7.084433854484883,0.30066445182724255,0.7196870925684485,0.93734335839599
P1,2025-11-09 01:03:41,-0.37752232547507786,1,-0.37467422485193397,-0.499439374390255,-0.02196591933823112,0.024131134484546207,7.590389199222907,0.30066445182724255,0.7183833116036505,0.93734335839599
P1,2025-11-09 01:04:43,-0.40781549656075045,1,-0.37544654307567193,-0.499439374390255,0.06914998552372004,0.21153711032460537,7.780122453499666,0.30066445182724255,0.7196870925684485,0.9385964912280701
P1,2025-11-09 01:05:43,-0.40286518262936505,1,-0.37544654307567193,-0.5305220751563003,-0.02196591933823112,0.024131134484546207,8.096344543960932,0.30066445182724255,0.7183833116036505,0.9385964912280701
P1,2025-11-09 01:06:45,-0.4106619270712971,1,-0.37544654307567193,-0.499439374390255,0.06914998552372004,0.2583886042846201,8.28607779823769,0.30066445182724255,0.7196870925684485,0.9385964912280701
P1,2025-11-09 01:07:47,-0.4120232634024281,1,-0.3769911795231478,-0.499439374390255,0.02359203309274438,0.11783412240457579,8.096344543960932,0.30066445182724255,0.7196870925684485,0.9385964912280701
P1,2025-11-09 01:08:48,-0.4119957616583649,1,-0.3777634977468859,-0.499439374390255,0.02359203309274438,0.16468561636459056,7.084433854484883,0.2990033222591362,0.7196870925684485,0.9385964912280701
P1,2025-11-09 01:09:49,-0.4145259221121841,1,-0.38008045241809985,-0.499439374390255,0.11470793795469554,0.11783412240457579,5.56656782027081,0.2990033222591362,0.7196870925684485,0.9385964912280701
P1,2025-11-09 01:10:50,-0.40690793900666317,1,-0.38162508886557583,-0.499439374390255,-0.02196591933823112,0.16468561636459056,4.554657130794761,0.2990033222591362,0.7209908735332463,0.9385964912280701
P1,2025-11-09 01:11:52,-0.4132470910132428,1,-0.38162508886557583,-0.5305220751563003,-0.02196591933823112,0.024131134484546207,3.7957241136877258,0.30066445182724255,0.7222946544980443,0.9360902255639096
P1,2025-11-09 01:12:53,-0.4077192404565291,1,-0.38316972531305177,-0.499439374390255,0.06914998552372004,0.2583886042846201,4.111946204148991,0.3023255813953489,0.7157757496740547,0.9348370927318296
P1,2025-11-09 01:13:55,-0.4120232634024281,1,-0.38316972531305177,-0.5305220751563003,-0.02196591933823112,0.07098262844456099,2.657324588027171,0.2990033222591362,0.7209908735332463,0.9348370927318296
P1,2025-11-09 01:14:57,-0.4039790032639267,1,-0.38471436176052765,-0.5305220751563003,0.11470793795469554,0.11783412240457579,2.2146136613814,0.2990033222591362,0.7209908735332463,0.9360902255639096
P1,2025-11-09 01:15:59,-0.39372085272833357,1,-0.3870313164317417,-0.5305220751563003,0.11470793795469554,0.024131134484546207,1.9616359890123878,0.2990033222591362,0.7209908735332463,0.93734335839599
P1,2025-11-09 01:16:59,-0.38999436640776286,1,-0.3870313164317417,-0.5305220751563003,0.02359203309274438,0.024131134484546207,1.6454138985511226,0.2990033222591362,0.7222946544980443,0.93734335839599
P1,2025-11-09 01:18:00,-0.4128345648522941,1,-0.38316972531305177,-0.5305220751563003,-0.02196591933823112,0.024131134484546207,1.3291918080898573,0.2973421926910299,0.7209908735332463,0.93734335839599
P1,2025-11-09 01:19:00,-0.4260904054907818,1,-0.38625899820800375,-0.5305220751563003,0.06914998552372004,0.024131134484546207,1.0762141357208452,0.2973421926910299,0.7209908735332463,0.93734335839599
P1,2025-11-09 01:20:02,-0.38687291845658367,1,-0.3870313164317417,-0.5305220751563003,0.02359203309274438,0.024131134484546207,0.823236463351833,0.2973421926910299,0.7209908735332463,0.93734335839599
P1,2025-11-09 01:21:04,-0.41262830177181964,1,-0.38934827110295567,-0.5305220751563003,0.06914998552372004,0.11783412240457579,0.633503209075074,0.2990033222591362,0.7209908735332463,0.93734335839599
P1,2025-11-09 01:22:05,-0.42186888777707254,1,-0.38934827110295567,-0.5305220751563003,0.06914998552372004,0.024131134484546207,0.3805255367060618,0.2973421926910299,0.7196870925684485,0.93734335839599
P1,2025-11-09 01:23:06,-0.4133295962454326,1,-0.39089290755043155,-0.5305220751563003,-0.02196591933823112,0.07098262844456099,0.25403670052155575,0.2973421926910299,0.7222946544980443,0.93734335839599
P1,2025-11-09 01:24:06,-0.412064516018523,1,-0.39089290755043155,-0.5305220751563003,-0.02196591933823112,0.024131134484546207,0.25403670052155575,0.2973421926910299,0.7209908735332463,0.93734335839599
P1,2025-11-09 01:25:07,-0.42617291072297153,1,-0.39320986222164545,-0.5305220751563003,0.02359203309274438,0.024131134484546207,0.12754786433704968,0.2973421926910299,0.7209908735332463,0.93734335839599
P1,2025-11-09 01:26:09,-0.40976812038924143,1,-0.39089290755043155,-0.5305220751563003,0.02359203309274438,0.024131134484546207,-0.06218538993970942,0.2973421926910299,0.7209908735332463,0.93734335839599
P1,2025-11-09 01:27:10,-0.4257466336899911,1,-0.3924375439979075,-0.5305220751563003,0.02359203309274438,0.16468561636459056,0.0010590281525436121,0.2956810631229236,0.7209908735332463,0.93734335839599
P1,2025-11-09 01:28:12,-0.41396213635888746,1,-0.3924375439979075,-0.5616047759223458,-0.06752387176920663,-0.022720359475468584,-0.12542980803196244,0.2973421926910299,0.7222946544980443,0.9360902255639096
P1,2025-11-09 01:29:14,-0.42281769794725477,1,-0.3939821804453836,-0.5305220751563003,0.06914998552372004,0.2583886042846201,-0.12542980803196244,0.2956810631229236,0.7222946544980443,0.93734335839599
